,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,63.98,91,5,3.53,ZA,1612489893
1,ponta do sol,32.6667,-17.1,48.97,67,83,1.34,PT,1612490167
2,flinders,-34.5833,150.8552,83.98,70,13,3.13,AU,1612490226
3,asau,46.4333,26.4,37.38,87,40,3.09,RO,1612490557
4,huanren,41.2647,125.3667,23.18,93,91,3.22,CN,1612490557
5,busselton,-33.65,115.3333,65.98,40,2,0.89,AU,1612490157
6,yellowknife,62.456,-114.3525,-29.02,75,1,3.09,CA,1612490178
7,tuatapere,-46.1333,167.6833,67.17,53,94,2.71,NZ,1612490267
8,hambantota,6.1241,81.1185,69.78,100,40,1.54,LK,1612490557
9,fare,-16.7,-151.0167,82.07,64,0,2.84,PF,1612490291
10,mahebourg,-20.4081,57.7,75.18,83,20,1.03,MU,1612490557
11,klaksvik,62.2266,-6.589,33.78,64,20,6.69,FO,1612490557
12,matara,5.9485,80.5353,74.33,86,31,2.07,LK,1612490558
13,kitimat,54.0524,-128.6534,31.98,100,90,2.57,CA,1612490558
14,punta arenas,-53.15,-70.9167,49.98,62,20,8.75,CL,1612490309
15,tilichiki,60.4667,166.1,-3.19,93,98,7.09,RU,1612490558
16,castro,-24.7911,-50.0119,65.08,95,0,1.95,BR,1612490177
17,cidreira,-30.1811,-50.2056,68.54,76,20,7.28,BR,1612490193
18,kodiak,57.79,-152.4072,30.18,80,1,2.06,US,1612490149
19,griffith,41.5284,-87.4237,28.38,93,90,7.2,US,1612490559
20,butaritari,3.0707,172.7902,80.17,84,98,6.06,KI,1612489906
21,tobermory,45.2501,-81.6665,33.78,44,100,4.12,CA,1612490559
22,chokurdakh,70.6333,147.9167,-14.53,86,96,9.03,RU,1612490157
23,albany,42.6001,-73.9662,28.38,69,20,1.19,US,1612490171
24,san patricio,28.017,-97.5169,69.78,78,20,7.2,US,1612490169
25,puerto narino,-3.7703,-70.3831,75.18,100,75,0.88,CO,1612490559
26,rikitea,-23.1203,-134.9692,78.65,68,100,5.08,PF,1612490153
27,minna,9.6139,6.5569,78.78,18,0,4.12,NG,1612490560
28,port alfred,-33.5906,26.891,65.98,89,41,3.43,ZA,1612490166
29,kapaa,22.0752,-159.319,67.98,64,90,4.12,US,1612490560
30,bluff,-46.6,168.3333,58.26,71,100,4.86,NZ,1612490470
31,longview,32.5007,-94.7405,53.58,64,1,5.14,US,1612490560
32,jamestown,42.097,-79.2353,35.98,44,1,5.66,US,1612490166
33,east london,-33.0153,27.9116,72.71,74,88,2.65,ZA,1612490148
34,saint-georges,12.0564,-61.7485,78.78,83,20,6.17,GD,1612490561
35,port elizabeth,-33.918,25.5701,62.58,88,0,2.66,ZA,1612490132
36,ushuaia,-54.8,-68.3,46.38,81,20,15.43,AR,1612490409
37,puerto ayora,-0.7393,-90.3518,76.98,94,18,1.34,EC,1612489907
38,dikson,73.5069,80.5464,-8.14,91,100,4.91,RU,1612490154
39,vwawa,-9.1167,32.9333,59.41,93,83,0.89,TZ,1612490561
40,sao joao da barra,-21.6403,-41.0511,77.47,82,0,8.96,BR,1612490092
41,hilo,19.7297,-155.09,73.38,68,90,6.17,US,1612490159
42,mataura,-46.1927,168.8643,74.14,41,99,0.95,NZ,1612490562
43,san cristobal,7.7669,-72.225,82.38,65,40,1.03,VE,1612489994
44,bredasdorp,-34.5322,20.0403,62.58,88,4,1.54,ZA,1612490154
45,bagan,54.1001,77.6646,7.36,91,98,2.74,RU,1612490562
46,pevek,69.7008,170.3133,-13.61,78,72,2.38,RU,1612490175
47,la asuncion,11.0333,-63.8628,77.43,82,98,7.38,VE,1612490563
48,touros,-5.1989,-35.4608,78.78,78,0,4.63,BR,1612490160
49,te anau,-45.4167,167.7167,74.35,37,42,0.93,NZ,1612490185
50,itarema,-2.9248,-39.9167,78.42,81,88,5.18,BR,1612490174
51,arlit,18.7369,7.3853,62.49,27,99,3.16,NE,1612490563
52,luganville,-15.5333,167.1667,84.34,67,100,3.0,VU,1612490199
53,chapais,49.7834,-74.8492,15.78,86,1,2.02,CA,1612490208
54,pyay,18.8167,95.2167,75.36,40,0,2.06,MM,1612490563
55,bambous virieux,-20.3428,57.7575,77.99,78,20,2.57,MU,1612490164
56,new norfolk,-42.7826,147.0587,81.98,55,100,1.34,AU,1612489898
57,vardo,70.3705,31.1107,27.98,90,99,9.05,NO,1612490223
58,aginskoye,51.1,114.53,8.22,90,0,5.04,RU,1612490564
59,saldanha,-33.0117,17.9442,60.78,82,0,3.6,ZA,1612490172
60,eyrarbakki,63.863,-21.1481,37.38,65,40,10.8,IS,1612490564
61,avarua,-21.2078,-159.775,84.18,70,75,1.54,CK,1612489876
62,lebu,-37.6167,-73.65,61.05,79,0,1.09,CL,1612489915
63,campoverde,-8.4753,-74.8058,76.98,94,75,1.03,PE,1612490565
64,kununurra,-15.7667,128.7333,89.58,70,40,4.63,AU,1612490165
65,beringovskiy,63.05,179.3167,-0.38,92,100,3.81,RU,1612490565
